timestamp,pod,container,memory_bytes,phase
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15802368,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6496256,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18903040,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11234623488,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15433728,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6651904,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1574166528,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13192364032,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15433728,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,2043904,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24395776,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13333942272,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15912960,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6631424,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18874368,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,10964926464,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15577088,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6508544,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1942892544,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13207588864,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15454208,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1859584,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:22:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24289280,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13349343232,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15876096,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6623232,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,19103744,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,10793033728,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15380480,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6496256,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,2025480192,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13221208064,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15511552,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1765376,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:22:43Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24424448,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13379457024,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16101376,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6799360,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18915328,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,10748444672,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,16351232,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6496256,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,2001186816,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13234626560,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15409152,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1880064,load_50tps
